titre,titre_original,date,duree,descriptions,genre,langue_origine,pays,public,score,acteurs,nbSaisons,nbEpisodes
Les Évadés,The Shawshank Redemption,1 mars 1995,142,"Le banquier Andy Dufresne est arrêté pour avoir tué sa femme et son amant. Après une dure adaptation, il tente d'améliorer les conditions de la prison et de redonner de l'espoir à ses compagnons.",Drame,Anglais,États-Unis,Tous publics avec avertissement,9.3,"Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,Clancy Brown,Gil Bellows,Mark Rolston,James Whitmore,Jeffrey DeMunn,Larry Brandenburg,Neil Giuntoli,Brian Libby,David Proval,Joseph Ragno,Jude Ciccolella,Paul McCrane,Renee Blaine,Scott Mann",,
Cinéma Paradiso,Nuovo Cinema Paradiso,20 septembre 1989,155,"Un cinéaste se souvient de son enfance : son immense amour pour les images au cinéma de son village natal, et sa profonde amitié avec le projectionniste.","Drame,Romantique",Italien,"Italie,France",Tous publics,8.5,"Philippe Noiret,Enzo Cannavale,Antonella Attili,Isa Danieli,Leo Gullotta,Marco Leonardi,Pupella Maggio,Agnese Nano,Leopoldo Trieste,Salvatore Cascio,Tano Cimarosa,Nicola Di Pinto,Roberta Lena,Nino Terzo,Jacques Perrin,Nellina Laganà,Turi Giuffrida,Mariella Lo Giudice",,
Les lumières de la ville,City Lights,7 avril 1931,87,Charlot vagabond vient en aide Ã une jeune fleuriste aveugle et se fait passer pour un homme riche. A force de travail il réunit assez d'argent pour que la jeune fille recouvre la vue.,"Comédie,Drame,Romantique","Muet,Anglais",États-Unis,Tous publics,8.5,"Charles Chaplin,Virginia Cherrill,Florence Lee,Harry Myers,Al Ernest Garcia,Hank Mann,Johnny Aber,Jack Alexander,T.S. Alexander,Victor Alexander,Albert Austin,Harry Ayers,Eddie Baker,Henry Bergman,Edward Biby,Betty Blair,Buster Brodie,Jeanne Carpenter",,
Les Aventuriers de l'arche perdue,Raiders of the Lost Ark,16 septembre 1981,115,"En 1936, l 'archéologue et aventurier Indiana Jones est engagé par le gouvernement américain pour trouver l'arche de l'alliance avant que les nazis d'Adolf Hitler ne puissent obtenir ses pouvoirs extraordinaires.","Action,Aventure","Anglais,Allemand,Hébreu,Espagnol,Arabe,Népalais",États-Unis,Tous publics,8.4,"Harrison Ford,Karen Allen,Paul Freeman,John Rhys-Davies,Ronald Lacey,Denholm Elliott,Alfred Molina,Wolf Kahler,Anthony Higgins,Vic Tablian,Don Fellows,William Hootkins,Bill Reimbold,Fred Sorenson,Patrick Durkin,Matthew Scurfield,Malcolm Weaver,Sonny Caldinez",,
Apocalypse Now,Apocalypse Now,26 septembre 1979,147,"Pendant la guerre du Vietnam, le capitaine Willard est envoyé en mission au Cambodge pour assassiner un colonel rebelle qui s'est déclaré Dieu parmi une tribu locale.","Drame,Mystère,Guerre","Anglais,Français,Vietnamien",États-Unis,Tous publics avec avertissement,8.5,"Martin Sheen,Marlon Brando,Robert Duvall,Frederic Forrest,Sam Bottoms,Laurence Fishburne,Albert Hall,Harrison Ford,Dennis Hopper,G.D. Spradlin,Jerry Ziesmer,Scott Glenn,Bo Byers,James Keane,Kerry Rossall,Ron McQueen,Tom Mason,Cynthia Wood",,
Alien - Le 8ème passager,Alien,12 septembre 1979,117,"Un vaisseau spatial perçoit une transmission non-identifiée comme un signal de détresse. Lors de son atterrissage, l'un des membres de l'équipage est attaqué par une mystérieuse forme de vie, ils réalisent rapidement que son cycle de vie vient seulement de commencer.","Horreur,Science-fiction",Anglais,"Royaume-Uni,États-Unis",12,8.5,"Sigourney Weaver,Tom Skerritt,John Hurt,Veronica Cartwright,Harry Dean Stanton,Ian Holm,Yaphet Kotto,Bolaji Badejo,Helen Horton,Eddie Powell",,
Memento,Memento,11 octobre 2000,113,Un homme souffrant de perte de la mémoire à court terme tente de retrouver l'assassin de sa femme.,"Mystère,Thriller",Anglais,États-Unis,Tous publics,8.4,"Guy Pearce,Carrie-Anne Moss,Joe Pantoliano,Mark Boone Junior,Russ Fega,Jorja Fox,Stephen Tobolowsky,Harriet Sansom Harris,Thomas Lennon,Callum Keith Rennie,Kimberly Campbell,Marianne Muellerleile,Larry Holden,Stephanie Searson,Buzz Visconti",,
Planet Earth II,Planet Earth II,6 novembre 2016,298,David Attenborough revient avec un nouveau documentaire sur la faune qui montre la vie dans une variété d'habitats.,Documentaire,"Anglais,Français","Royaume-Uni,Allemagne,France,Chine,États-Unis",10,9.5,"David Attenborough,Chadden Hunter,Gordon Buchanan,Elizabeth White,Pete McCowen,Emma Brennand,Barrie Britton,Fredi Devas,Sandesh Kadur,Mark MacEwen,Emma Napper,Ed Charles,Max Hug Williams,Jerome Poncet,Michael J. Sanderson,Toby Nowlan,Armin Holtze,Thomas Crowley",1,6
Fenêtre sur cour,Rear Window,14 septembre 1955,112,Un photographe en fauteuil roulant épie ses voisins depuis la fenêtre de son appartement et finit par être convaincu que l'un d'entre eux a commis un meurtre.,"Mystère,Thriller",Anglais,États-Unis,Tous publics,8.5,"James Stewart,Grace Kelly,Wendell Corey,Thelma Ritter,Raymond Burr,Judith Evelyn,Ross Bagdasarian,Georgine Darcy,Sara Berner,Frank Cady,Jesslyn Fax,Rand Harper,Irene Winston,Havis Davenport,Jerry Antes,Barbara Bailey,Benny Bartlett,Nick Borgani",,
Il était une fois dans l'Ouest,C'era una volta il West,27 août 1969,165,Un mystérieux inconnu possédant un harmonica s'associe à un desperado notoire pour protéger une jolie veuve d'un assassin sans scrupule travaillant pour le chemin de fer.,Western,"Italien,Anglais,Espagnol","Italie,États-Unis",Tous publics,8.5,"Henry Fonda,Charles Bronson,Claudia Cardinale,Jason Robards,Gabriele Ferzetti,Paolo Stoppa,Woody Strode,Jack Elam,Keenan Wynn,Frank Wolff,Lionel Stander,Livio Andronico,Salvatore Basile,Aldo Berti,Joseph Bradley,Frank Braña,Marilù Carteny,Saturno Cerra",,
